employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-41244663,Madhav,Singh,Male,Madhya Pradesh,Indore,2023-05-11,IT,IT Support Specialist,Bachelor,65754,Good,No,1974-01-17,2023-11-07
00-70855700,Ehsaan,Batra,Male,West Bengal,Durgapur,2021-05-28,Operations,Logistics Coordinator,Bachelor,66971,Satisfactory,Yes,1972-03-10,2021-11-24
00-59684848,Divit,Gola,Male,Madhya Pradesh,Indore,2018-11-26,Operations,Inventory Specialist,Bachelor,58623,Good,No,2003-10-21,2019-12-08
00-96977837,Shray,Ramakrishnan,Female,West Bengal,Kolkata,2016-04-12,Sales,Sales Manager,PhD,110637,Good,No,1973-11-25,2023-01-29
00-81691040,Zara,Bains,Male,West Bengal,Durgapur,2022-10-11,Customer Service,Customer Service Representative,Bachelor,60301,Good,No,1980-07-01,2023-04-09
00-60929647,Amira,Loyal,Male,Madhya Pradesh,Gwalior,2017-02-18,IT,IT Support Specialist,Bachelor,62378,Excellent,No,1982-10-29,2024-06-16
00-84752529,Uthkarsh,Baral,Male,West Bengal,Howrah,2017-08-03,Customer Service,Support Specialist,Bachelor,63132,Satisfactory,No,1981-09-16,2022-08-06
00-17507864,Ritvik,Thakkar,Female,West Bengal,Kolkata,2017-09-02,Sales,Sales Manager,Master,80438,Satisfactory,Yes,1999-01-28,2018-03-01
00-52339391,Miraya,Wali,Male,Uttar Pradesh,Noida,2019-12-01,Sales,Sales Specialist,PhD,77139,Good,Yes,1965-04-07,2020-05-29
00-86125617,Taran,Mani,Male,Rajasthan,Jaipur,2023-03-16,Sales,Sales Consultant,Bachelor,101843,Satisfactory,No,1985-12-11,2024-02-06
00-97971488,Renee,Banerjee,Male,West Bengal,Howrah,2020-01-18,Operations,Logistics Coordinator,Bachelor,70754,Good,No,1986-04-02,2021-10-27
00-29175900,Nitara,Comar,Male,West Bengal,Howrah,2017-10-28,Operations,Inventory Specialist,Bachelor,70262,Good,Yes,1970-06-28,2018-04-26
00-85345555,Riaan,Baral,Male,West Bengal,Durgapur,2020-11-28,Marketing,Content Creator,Bachelor,69760,Good,No,1992-12-28,2021-05-27
00-67503414,Mehul,Verma,Male,West Bengal,Kolkata,2023-02-09,Sales,Sales Specialist,Bachelor,74141,Needs Improvement,No,1985-04-21,2023-08-08
00-39436733,Vaibhav,Dewan,Male,Tamil Nadu,Tiruchirappalli,2024-06-25,IT,System Administrator,Bachelor,90149,Excellent,No,1961-03-19,2024-12-22
00-76238574,Myra,Tiwari,Male,West Bengal,Howrah,2016-05-21,Sales,Sales Specialist,Master,68938,Satisfactory,No,1979-02-03,2021-05-10
00-24716857,Ishaan,Goyal,Male,West Bengal,Howrah,2017-05-18,IT,IT Support Specialist,High School,57398,Good,No,2001-01-17,2021-11-16
00-66661351,Lakshay,Sampath,Female,West Bengal,Durgapur,2020-04-13,Customer Service,Customer Service Representative,Bachelor,59968,Satisfactory,Yes,1982-03-26,2022-11-17
00-89978790,Rati,Sanghvi,Male,West Bengal,Howrah,2024-09-08,Sales,Sales Specialist,PhD,72587,Satisfactory,No,1967-02-22,2025-03-07
00-84252722,Devansh,Ramanathan,Female,West Bengal,Durgapur,2023-09-04,Sales,Sales Specialist,Bachelor,80892,Excellent,No,1998-12-03,2024-03-02
00-25374874,Jayan,Loke,Male,West Bengal,Kolkata,2022-10-11,Finance,Accounts Payable Specialist,Bachelor,68682,Satisfactory,No,1977-11-23,2023-04-09
00-45812670,Nirvaan,Bumb,Male,West Bengal,Howrah,2022-06-29,Operations,Operations Analyst,Master,79162,Excellent,No,2000-03-10,2024-02-14
00-49392920,Vaibhav,Deshmukh,Female,West Bengal,Durgapur,2019-12-26,IT,Software Developer,Bachelor,100097,Excellent,No,1964-06-14,2021-04-29
00-45351479,Navya,Sankaran,Male,West Bengal,Kolkata,2024-08-04,Operations,Logistics Coordinator,Bachelor,64547,Excellent,No,1998-08-05,2025-01-31
00-24282218,Madhup,Sani,Female,Madhya Pradesh,Bhopal,2023-05-06,Sales,Sales Consultant,PhD,113090,Satisfactory,No,1973-12-13,2024-01-25
00-95758349,Tiya,Soni,Male,Delhi,New Delhi,2020-01-22,Operations,Logistics Coordinator,Bachelor,61851,Satisfactory,No,1995-12-22,2021-12-11
00-60185867,Manikya,Tara,Female,West Bengal,Kolkata,2022-01-13,Operations,Logistics Coordinator,Bachelor,54097,Good,No,2002-03-18,2022-10-12
00-81182864,Zara,Dugar,Female,West Bengal,Howrah,2024-06-04,Sales,Sales Specialist,Bachelor,62233,Good,No,1980-07-13,2024-12-01
00-75579548,Priyansh,Bali,Male,West Bengal,Howrah,2015-03-23,Marketing,SEO Specialist,High School,76894,Good,Yes,1993-11-23,2023-03-13
00-51273847,Jiya,Vora,Female,West Bengal,Kolkata,2017-10-06,Operations,Inventory Specialist,Bachelor,58154,Good,Yes,1974-05-20,2018-12-02
00-20570592,Saksham,Cherian,Male,West Bengal,Durgapur,2016-09-11,Customer Service,Support Specialist,Bachelor,72079,Satisfactory,No,1968-06-18,2017-03-10
00-19289546,Charvi,Hora,Male,West Bengal,Kolkata,2024-12-09,Sales,Sales Representative,Bachelor,79664,Satisfactory,Yes,2001-12-29,2025-06-07
00-26879290,Nayantara,Karnik,Female,West Bengal,Howrah,2016-02-25,Operations,Inventory Specialist,Bachelor,65428,Good,No,1986-09-19,2019-06-05
00-32162965,Prerak,Boase,Female,Rajasthan,Jaipur,2017-04-06,Sales,Sales Consultant,Master,74616,Needs Improvement,No,1964-06-03,2018-12-07
00-38427073,Shanaya,Mand,Male,West Bengal,Howrah,2024-07-28,Operations,Inventory Specialist,High School,53956,Good,Yes,2002-11-24,2025-01-24
00-36998038,Prerak,Shenoy,Female,Madhya Pradesh,Indore,2022-08-16,Customer Service,Customer Service Representative,Bachelor,63291,Satisfactory,No,1987-01-07,2023-02-12
00-97225156,Aaryahi,Yadav,Female,West Bengal,Durgapur,2018-08-15,Marketing,SEO Specialist,High School,90082,Good,No,1963-04-18,2023-11-16
00-26240908,Yakshit,Golla,Male,West Bengal,Howrah,2017-03-27,Sales,Sales Consultant,PhD,71389,Satisfactory,No,1973-04-29,2018-01-27
00-12823170,Hiran,Kumar,Male,West Bengal,Durgapur,2020-07-10,Operations,Logistics Coordinator,Bachelor,69782,Excellent,Yes,1973-08-15,2024-12-14
00-39557077,Divij,Shroff,Male,West Bengal,Durgapur,2015-01-19,Operations,Inventory Specialist,Bachelor,59782,Excellent,No,1980-05-19,2023-12-18
00-17901903,Faiyaz,Bose,Male,West Bengal,Kolkata,2017-09-01,IT,Software Developer,Master,99256,Excellent,No,1977-04-23,2021-12-29
00-54349361,Indranil,Sule,Male,West Bengal,Durgapur,2016-09-21,Operations,Logistics Coordinator,Bachelor,61354,Excellent,Yes,2002-06-26,2017-10-15
00-99788677,Aarna,Raju,Male,West Bengal,Durgapur,2019-01-25,Operations,Inventory Specialist,High School,64408,Good,No,1989-11-08,2019-07-24
00-86644106,Veer,Halder,Female,West Bengal,Durgapur,2020-08-19,Customer Service,Help Desk Technician,Bachelor,84950,Satisfactory,No,1993-04-12,2022-09-02
00-73481353,Anahita,Lalla,Female,Rajasthan,Jaipur,2023-04-08,Marketing,Content Creator,High School,54685,Excellent,No,1970-06-21,2023-10-05
00-23009833,Ishita,Vasa,Female,West Bengal,Durgapur,2022-01-05,Operations,Inventory Specialist,Bachelor,62966,Good,Yes,1992-11-13,2022-07-04
00-65177213,Pihu,Sen,Female,Rajasthan,Udaipur,2019-02-14,Sales,Sales Specialist,PhD,93438,Satisfactory,No,1995-01-15,2022-12-12
00-97705310,Pihu,Wali,Female,Madhya Pradesh,Indore,2024-07-27,Operations,Inventory Specialist,High School,63426,Good,Yes,1972-08-14,2025-01-23
00-64038913,Suhana,Deol,Female,West Bengal,Howrah,2022-10-26,IT,Software Developer,Bachelor,95995,Needs Improvement,No,1960-07-22,2023-04-24
00-35714784,Nayantara,Garde,Male,West Bengal,Kolkata,2017-02-13,Operations,Inventory Specialist,Bachelor,69970,Excellent,Yes,1993-03-02,2017-08-12
00-66623995,Ritvik,Kalla,Female,West Bengal,Durgapur,2017-03-03,Finance,Financial Analyst,Bachelor,71776,Satisfactory,No,1999-05-12,2021-05-16
00-20117988,Amani,Agarwal,Male,West Bengal,Durgapur,2019-10-08,Operations,Logistics Coordinator,Bachelor,61587,Good,No,1991-08-25,2020-04-05
00-16789850,Saira,Deep,Female,West Bengal,Howrah,2022-07-14,Operations,Operations Analyst,Bachelor,65565,Needs Improvement,No,1981-08-29,2023-01-10
00-11980765,Tarini,Chakraborty,Male,West Bengal,Kolkata,2024-07-16,Operations,Operations Analyst,Master,75941,Good,No,2001-09-14,2025-01-12
00-64547971,Emir,Virk,Female,West Bengal,Howrah,2019-08-31,Finance,Accountant,Bachelor,54113,Satisfactory,No,1964-02-19,2021-03-05
00-63826716,Rohan,Trivedi,Male,West Bengal,Durgapur,2023-09-06,Finance,Accountant,Bachelor,96421,Needs Improvement,Yes,1985-11-02,2024-03-04
00-10289289,Dishani,Ramanathan,Female,West Bengal,Durgapur,2024-03-18,Sales,Sales Specialist,Master,64048,Good,No,1986-10-25,2024-09-14
00-71070189,Indrans,Grover,Female,West Bengal,Kolkata,2017-10-24,Customer Service,Help Desk Technician,Bachelor,59041,Good,Yes,2000-03-07,2023-08-27
00-84593961,Ishaan,Madan,Male,West Bengal,Durgapur,2022-10-30,Operations,Inventory Specialist,Bachelor,62249,Good,No,1971-08-20,2023-04-28
00-35487660,Eva,Acharya,Female,West Bengal,Durgapur,2017-08-21,Operations,Inventory Specialist,High School,53920,Excellent,No,1981-07-23,2018-05-06
00-82772208,Samarth,Konda,Male,West Bengal,Durgapur,2016-01-08,Operations,Operations Manager,Master,74422,Good,No,2003-11-19,2016-11-17
00-16729990,Faiyaz,Golla,Female,West Bengal,Howrah,2020-12-07,Finance,Financial Analyst,PhD,76075,Satisfactory,Yes,1988-03-09,2024-07-30
00-81286543,Zara,Dube,Male,West Bengal,Durgapur,2017-04-03,Finance,Accountant,Bachelor,65325,Good,No,1980-05-24,2017-09-30
00-34941004,Bhavin,Dara,Male,West Bengal,Durgapur,2016-12-06,Finance,Accountant,Bachelor,82210,Satisfactory,No,1960-03-02,2017-06-04
00-41568532,Jiya,Baral,Male,West Bengal,Howrah,2019-02-03,Operations,Inventory Specialist,High School,55548,Good,No,2002-11-09,2019-08-02
00-87701200,Sana,Kibe,Female,West Bengal,Howrah,2020-11-12,Operations,Logistics Coordinator,Bachelor,62365,Satisfactory,No,1981-06-25,2021-05-11
00-66267415,Darshit,Sidhu,Male,West Bengal,Kolkata,2022-07-26,IT,IT Support Specialist,Bachelor,59160,Excellent,No,1983-04-17,2024-11-06
00-52462441,Tiya,Bhatnagar,Female,Tamil Nadu,Vellore,2024-02-19,Operations,Logistics Coordinator,Bachelor,60254,Good,No,1983-10-28,2024-08-17
00-52169044,Nirvi,Khanna,Male,West Bengal,Durgapur,2017-08-02,Sales,Sales Consultant,Bachelor,100708,Excellent,Yes,1970-01-15,2021-03-06
00-96637649,Ivan,Deo,Female,West Bengal,Howrah,2017-07-24,Customer Service,Customer Service Representative,Bachelor,61966,Good,Yes,1979-12-10,2024-02-06
00-19736572,Mahika,Kakar,Male,Uttar Pradesh,Prayagraj,2015-03-24,Operations,Logistics Coordinator,Bachelor,70482,Good,Yes,1994-06-18,2017-09-29
00-23419256,Hrishita,Shroff,Male,West Bengal,Howrah,2016-10-10,Sales,Sales Manager,PhD,74880,Good,No,1976-07-30,2017-04-08
00-45594597,Prisha,Chaudhry,Female,West Bengal,Durgapur,2017-10-04,Marketing,SEO Specialist,Bachelor,79905,Excellent,No,1992-03-12,2020-03-10
00-42787299,Sahil,Iyengar,Female,West Bengal,Durgapur,2018-09-18,Customer Service,Customer Service Representative,High School,57258,Good,No,1970-09-30,2020-03-12
00-82909480,Nehmat,Grover,Female,West Bengal,Howrah,2022-06-20,Marketing,Content Creator,Bachelor,66016,Satisfactory,Yes,1980-11-24,2022-12-17
00-97775215,Ela,Kara,Female,West Bengal,Howrah,2020-02-16,Operations,Logistics Coordinator,Bachelor,58506,Good,No,1993-01-27,2022-07-30
00-84437458,Nishith,Chowdhury,Female,West Bengal,Durgapur,2017-01-25,Customer Service,Support Specialist,Bachelor,60099,Good,No,1967-08-17,2023-04-20
00-28024248,Shayak,Anne,Female,West Bengal,Howrah,2017-08-17,HR,HR Coordinator,Master,63569,Excellent,No,1984-03-30,2021-02-11
00-84252420,Ishita,Contractor,Female,West Bengal,Durgapur,2017-08-17,Customer Service,Help Desk Technician,High School,57198,Excellent,No,1976-07-18,2022-09-27
00-38270233,Madhup,Aggarwal,Male,West Bengal,Kolkata,2022-01-28,Sales,Sales Representative,Bachelor,65047,Satisfactory,No,1990-01-09,2022-07-27
00-95125977,Rhea,Raval,Male,West Bengal,Durgapur,2023-01-23,Sales,Sales Consultant,Master,66517,Good,No,1988-02-27,2023-07-22
00-43704923,Manikya,Bandi,Male,West Bengal,Kolkata,2023-12-18,Operations,Inventory Specialist,High School,58561,Good,No,1980-04-14,2024-06-15
00-95132217,Arhaan,Vasa,Male,West Bengal,Howrah,2019-05-09,Sales,Sales Representative,Bachelor,77713,Good,No,1974-06-18,2024-09-03
00-10475894,Devansh,Kurian,Female,West Bengal,Durgapur,2018-04-03,Marketing,Marketing Coordinator,Bachelor,62240,Good,No,1983-08-26,2019-07-16
00-45159040,Ranbir,Sami,Male,West Bengal,Howrah,2017-07-08,IT,Software Developer,Bachelor,86933,Good,No,1991-07-18,2021-02-02
00-67403166,Lakshit,Madan,Female,West Bengal,Kolkata,2020-02-21,IT,Software Developer,Bachelor,82877,Good,No,1983-01-27,2020-11-22
00-30005727,Samaira,Wadhwa,Male,Madhya Pradesh,Bhopal,2020-08-09,Operations,Operations Analyst,Master,85556,Satisfactory,Yes,1986-08-12,2021-02-05
00-84158663,Kashvi,Khalsa,Male,West Bengal,Kolkata,2017-04-05,Operations,Operations Analyst,Master,54525,Excellent,No,2002-10-25,2017-11-18
00-51373735,Vardaniya,Khalsa,Male,West Bengal,Kolkata,2018-11-10,IT,Software Developer,Bachelor,95460,Good,No,1964-01-26,2021-04-25
00-38195995,Yuvraj ,Chandran,Male,West Bengal,Howrah,2022-02-06,Customer Service,Help Desk Technician,High School,85802,Satisfactory,No,1965-11-21,2022-08-05
00-57469942,Divit,Sahni,Male,Madhya Pradesh,Gwalior,2023-06-17,Finance,Accountant,Bachelor,77580,Good,Yes,1978-12-14,2023-12-14
00-30743797,Sumer,Kakar,Female,West Bengal,Durgapur,2024-06-08,Sales,Sales Consultant,Bachelor,67112,Satisfactory,No,1989-04-09,2024-12-05
00-31810617,Anahita,Venkatesh,Female,Madhya Pradesh,Indore,2024-10-10,Customer Service,Customer Service Representative,Bachelor,67378,Good,No,1966-02-05,2025-04-08
00-13326769,Baiju,Samra,Male,Delhi,Delhi,2017-09-11,Marketing,Content Creator,Bachelor,66591,Needs Improvement,No,1963-07-05,2018-03-10
00-65259205,Neelofar,Bawa,Male,Madhya Pradesh,Indore,2023-01-24,IT,System Administrator,Bachelor,77033,Good,Yes,1971-01-22,2023-07-23
00-43308443,Yuvaan,Seth,Female,West Bengal,Kolkata,2017-05-12,Sales,Sales Representative,Bachelor,52735,Good,Yes,1992-02-04,2024-12-19
00-61343880,Yasmin,Venkataraman,Male,West Bengal,Howrah,2023-02-12,IT,System Administrator,Master,89467,Good,No,1985-01-13,2023-08-11
00-36786211,Nishith,Char,Female,Rajasthan,Udaipur,2023-03-15,Customer Service,Customer Service Representative,Bachelor,59650,Good,No,1960-04-15,2023-09-11
00-50962024,Heer,Kapur,Female,Madhya Pradesh,Bhopal,2023-02-24,Operations,Inventory Specialist,Bachelor,61400,Good,No,1982-03-11,2023-08-23
00-13176186,Aarna,Chand,Male,West Bengal,Durgapur,2022-04-19,Operations,Inventory Specialist,High School,56519,Satisfactory,No,2001-10-02,2022-10-16
00-47393469,Anahi,Dash,Female,West Bengal,Durgapur,2023-12-06,HR,Recruiter,High School,66043,Good,No,1965-09-19,2024-06-03
00-96098221,Dhanuk,Kant,Female,Karnataka,Mysore,2020-11-09,Sales,Sales Manager,Master,111437,Satisfactory,Yes,1984-12-03,2021-05-08
00-81969657,Ira,Bawa,Female,West Bengal,Durgapur,2018-01-20,Customer Service,Help Desk Technician,High School,64481,Excellent,Yes,1999-02-17,2022-04-07
00-45059710,Nehmat,Madan,Male,Madhya Pradesh,Indore,2017-11-21,Customer Service,Support Specialist,Bachelor,63782,Satisfactory,No,1976-02-11,2019-06-12
00-24549543,Abram,Batra,Male,Madhya Pradesh,Bhopal,2020-12-25,Operations,Inventory Specialist,High School,56241,Satisfactory,No,1997-01-16,2021-06-23
00-52101056,Suhana,Vala,Female,West Bengal,Durgapur,2019-04-02,Customer Service,Support Specialist,High School,55497,Needs Improvement,Yes,1987-10-10,2019-09-29
00-61700055,Ivan,Jani,Male,West Bengal,Howrah,2023-07-08,Customer Service,Support Specialist,Bachelor,65170,Satisfactory,No,1990-04-20,2024-01-04
00-15957459,Anya,Chhabra,Female,West Bengal,Durgapur,2022-12-02,HR,Recruiter,High School,55165,Good,Yes,1989-01-18,2023-05-31
00-82269803,Yakshit,Zacharia,Female,Uttar Pradesh,Noida,2022-01-23,Customer Service,Help Desk Technician,High School,82573,Satisfactory,No,1983-05-23,2022-07-22
00-36445607,Ivan,Gupta,Female,West Bengal,Howrah,2018-01-01,Marketing,Marketing Coordinator,Bachelor,73805,Satisfactory,No,1975-06-26,2021-08-25
00-54318698,Vidur,Deo,Male,Uttar Pradesh,Prayagraj,2021-12-26,Finance,Financial Analyst,PhD,92174,Good,No,1964-08-20,2022-06-24
00-26726926,Vardaniya,Srinivasan,Male,Tamil Nadu,Tiruchirappalli,2022-06-26,Customer Service,Customer Service Representative,High School,59640,Good,No,2001-08-08,2022-12-23
00-51511484,Reyansh,Kakar,Male,West Bengal,Durgapur,2022-09-28,Sales,Sales Representative,Bachelor,76136,Needs Improvement,Yes,1980-05-31,2023-03-27
00-49682169,Sana,Srinivasan,Male,West Bengal,Howrah,2020-08-03,Marketing,Content Creator,Bachelor,59251,Satisfactory,No,2003-06-11,2021-01-30
00-99245317,Nitara,Sekhon,Male,West Bengal,Kolkata,2024-07-08,Operations,Logistics Coordinator,Bachelor,69779,Needs Improvement,Yes,1967-07-04,2025-01-04
00-33357554,Indrans,Chandran,Female,West Bengal,Durgapur,2021-04-26,Customer Service,Customer Service Representative,High School,64760,Good,Yes,1993-05-16,2021-10-23
00-83542887,Madhav,Balakrishnan,Male,West Bengal,Kolkata,2023-08-13,Sales,Sales Specialist,Master,77279,Good,No,1997-10-26,2024-02-09
00-38210242,Sara,Madan,Male,West Bengal,Kolkata,2019-01-24,Customer Service,Help Desk Technician,High School,83632,Excellent,Yes,1989-04-26,2019-07-23
00-97873101,Siya,Dugar,Female,West Bengal,Howrah,2018-01-23,Operations,Logistics Coordinator,Bachelor,55350,Good,No,1982-07-03,2022-02-04
00-38682516,Badal,Master,Male,West Bengal,Durgapur,2020-07-04,Sales,Sales Representative,Bachelor,80119,Good,Yes,1985-02-10,2020-12-31
00-98429450,Damini,Varkey,Female,West Bengal,Howrah,2016-07-25,Operations,Inventory Specialist,Bachelor,56024,Good,No,1984-03-14,2021-10-20
00-94951883,Indranil,Balakrishnan,Male,West Bengal,Kolkata,2021-07-17,Sales,Sales Consultant,PhD,92770,Good,No,1978-03-30,2022-04-27
00-41523529,Dhanush,Varghese,Female,West Bengal,Kolkata,2022-03-14,Sales,Sales Representative,Bachelor,77257,Good,No,1971-09-17,2022-09-10
00-36726767,Darshit,Rajan,Female,Uttar Pradesh,Prayagraj,2017-01-27,IT,Software Developer,Master,104986,Good,Yes,1987-03-04,2024-04-01
00-73771720,Pari,Venkataraman,Male,Karnataka,Bengaluru,2021-04-02,Sales,Sales Representative,Bachelor,63982,Good,Yes,1990-05-12,2021-09-29
00-65625330,Yuvaan,Bhasin,Male,West Bengal,Howrah,2023-12-12,Finance,Financial Analyst,PhD,95015,Satisfactory,No,1971-01-16,2024-06-09
00-61536717,Jiya,Dasgupta,Male,West Bengal,Durgapur,2020-08-12,Sales,Sales Representative,Bachelor,75135,Satisfactory,Yes,2002-12-05,2021-02-08
00-98054615,Kimaya,Bahri,Female,Madhya Pradesh,Gwalior,2022-08-29,Customer Service,Customer Service Representative,Bachelor,66377,Good,No,1971-03-26,2023-02-25
00-67062156,Dhanush,Kadakia,Male,West Bengal,Kolkata,2017-09-13,Sales,Sales Representative,Bachelor,65560,Good,No,1998-02-07,2021-11-22
00-72350830,Keya,Mandal,Female,Madhya Pradesh,Gwalior,2016-07-22,Operations,Inventory Specialist,Bachelor,55244,Good,No,1984-03-24,2018-07-25
00-26288475,Saksham,De,Female,West Bengal,Durgapur,2019-03-21,IT,IT Support Specialist,Bachelor,57674,Excellent,Yes,2002-03-15,2024-08-20
00-81287314,Oorja,Sehgal,Female,West Bengal,Durgapur,2024-05-02,Operations,Inventory Specialist,Bachelor,58032,Satisfactory,No,1970-09-25,2024-10-29
00-69401199,Nakul,Deo,Female,West Bengal,Howrah,2021-06-03,Operations,Inventory Specialist,High School,56350,Satisfactory,No,1992-01-03,2021-11-30
00-67276174,Hansh,Sampath,Male,West Bengal,Howrah,2023-09-08,Sales,Sales Representative,Bachelor,66630,Good,No,1972-10-11,2024-03-06
00-31361812,Rohan,Karnik,Male,West Bengal,Kolkata,2022-05-03,Operations,Operations Analyst,Bachelor,88185,Needs Improvement,No,1979-02-26,2022-10-30
00-44788100,Suhana,Bansal,Female,West Bengal,Howrah,2022-01-04,Sales,Sales Consultant,PhD,91721,Good,No,1970-08-09,2022-07-03
00-79967676,Amira,Rastogi,Female,West Bengal,Durgapur,2019-08-07,Sales,Sales Representative,Bachelor,65986,Good,No,2001-10-13,2020-08-24
00-69038700,Divyansh,Bansal,Male,West Bengal,Kolkata,2016-07-27,Operations,Operations Manager,Bachelor,114311,Good,No,1986-05-28,2017-10-26
00-46468984,Lakshit,Kulkarni,Female,West Bengal,Howrah,2018-04-13,Operations,Operations Analyst,Bachelor,79460,Satisfactory,No,1990-02-10,2024-05-13
00-28572252,Hansh,Ghosh,Male,West Bengal,Durgapur,2017-12-09,Sales,Sales Specialist,Bachelor,70497,Satisfactory,Yes,1985-10-29,2022-11-06
00-30509175,Darshit,Wable,Male,West Bengal,Durgapur,2022-04-05,IT,IT Support Specialist,Bachelor,72885,Satisfactory,No,1989-05-14,2022-10-02
00-64707061,Tushar,Dhar,Male,West Bengal,Durgapur,2018-03-03,Operations,Inventory Specialist,High School,60821,Good,No,2001-04-01,2018-10-18
00-18357162,Advika,Thaman,Female,West Bengal,Durgapur,2017-07-30,IT,Software Developer,Bachelor,92653,Satisfactory,No,1971-02-11,2018-01-26
00-88393811,Renee,Dora,Male,Madhya Pradesh,Bhopal,2024-08-25,Operations,Inventory Specialist,Bachelor,72092,Satisfactory,No,1976-01-04,2025-02-21
00-87267850,Zara,Sachdeva,Female,West Bengal,Durgapur,2018-07-25,Operations,Logistics Coordinator,Bachelor,61981,Satisfactory,No,1972-01-20,2019-01-21
00-50079111,Aayush,Sama,Female,West Bengal,Kolkata,2022-11-14,Marketing,Content Creator,High School,58804,Satisfactory,No,1961-02-19,2024-06-09
00-83300637,Ishita,Doctor,Male,West Bengal,Howrah,2023-12-28,Sales,Sales Specialist,PhD,63117,Satisfactory,No,1981-07-15,2024-06-25
00-39450273,Nitara,Ben,Male,West Bengal,Durgapur,2017-12-08,IT,IT Support Specialist,Bachelor,69491,Good,No,1979-02-26,2018-06-06
00-62191530,Himmat,Deo,Male,West Bengal,Howrah,2018-02-14,Operations,Inventory Specialist,High School,62974,Good,No,1979-07-22,2018-08-13
00-64266464,Emir,Sharaf,Female,Uttar Pradesh,Lucknow,2022-08-03,IT,Software Developer,Master,84248,Satisfactory,No,1996-10-08,2023-01-30
00-93517915,Indrans,Deshpande,Male,West Bengal,Kolkata,2020-04-19,Operations,Inventory Specialist,High School,57481,Good,No,1966-11-01,2020-10-16
00-85751409,Lavanya,Cheema,Female,Tamil Nadu,Tiruchirappalli,2022-10-06,Customer Service,Customer Service Representative,Bachelor,53074,Satisfactory,No,1998-12-12,2023-04-04
00-67527432,Shlok,Chaudry,Female,West Bengal,Kolkata,2017-09-24,Operations,Inventory Specialist,Bachelor,61001,Satisfactory,No,1996-02-18,2021-12-17
00-16749089,Myra,Varkey,Female,Tamil Nadu,Vellore,2017-04-13,Operations,Inventory Specialist,Bachelor,60062,Good,Yes,1974-01-17,2021-09-24
00-71028710,Dishani,Konda,Female,Madhya Pradesh,Indore,2018-04-08,Customer Service,Help Desk Technician,High School,68081,Satisfactory,No,1979-01-03,2021-05-23
00-66581473,Baiju,Batra,Female,West Bengal,Howrah,2017-09-04,Customer Service,Customer Service Representative,High School,58189,Excellent,No,1999-12-14,2024-05-07
00-12601580,Aarna,Thakkar,Male,Madhya Pradesh,Gwalior,2022-04-18,Marketing,Content Creator,Bachelor,72055,Good,No,1963-04-30,2022-10-15
00-40094589,Azad,Agarwal,Female,West Bengal,Kolkata,2022-05-10,Customer Service,Customer Service Representative,Bachelor,51522,Good,No,2000-04-06,2022-11-06
